"Address","Status Code","Status","Inlinks","Matched Robots.txt Line"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=home","0","Blocked by robots.txt","99","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=locations-emirates-hills","0","Blocked by robots.txt","2","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=inline_link&utm_campaign=catering-packages","0","Blocked by robots.txt","1","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=locations","0","Blocked by robots.txt","1","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=vip-club","0","Blocked by robots.txt","8","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=private-chef-prices","0","Blocked by robots.txt","2","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=private-chef-dubai","0","Blocked by robots.txt","8","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=partner-with-us","0","Blocked by robots.txt","1","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=pdf_download&utm_campaign=dubai-event-catering-price-guide-2026","0","Blocked by robots.txt","2","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=our-chefs","0","Blocked by robots.txt","2","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=locations-jbr","0","Blocked by robots.txt","2","Line:4 /inquiry"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=locations-al-barsha","0","Blocked by robots.txt","2","Line:4 /inquiry"
