"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1"
"https://www.mychef.ae/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/","index, follow","",""
"https://www.mychef.ae/terms","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","noindex","https://www.mychef.ae/terms","index, follow","noindex, nofollow",""
"https://www.mychef.ae/private-chef-prices-dubai","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/private-chef-prices-dubai","index, follow","",""
"https://www.mychef.ae/wedding-catering-menu-planning-dubai?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://www.mychef.ae/wedding-catering-menu-planning-dubai","index, follow","",""
"https://www.mychef.ae/faq","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/faq","index, follow","",""
"https://www.mychef.ae/corporate-event-catering-dubai","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/corporate-event-catering-dubai","index, follow","",""
"https://www.mychef.ae/private-chef-vs-catering-dubai","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/private-chef-vs-catering-dubai","index, follow","",""
"https://www.mychef.ae/locations/jlt","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/locations/jlt","index, follow","",""
"https://www.mychef.ae/catering-cost-calculator-dubai","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/catering-cost-calculator-dubai","index, follow","",""
"https://www.mychef.ae/ramadan-catering-guide-dubai","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/ramadan-catering-guide-dubai","index, follow","",""
"https://www.mychef.ae/about","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/about","index, follow","",""
"https://www.mychef.ae/team-head-chef.webp","image/webp","200","OK","1.1","Indexable","","","","",""
"https://www.mychef.ae/locations/umm-suqeim","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/locations/umm-suqeim","index, follow","",""
"https://www.mychef.ae/locations/dubai-marina","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/locations/dubai-marina","index, follow","",""
"https://www.mychef.ae/full-time-private-chef-dubai","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/full-time-private-chef-dubai","index, follow","",""
"https://www.mychef.ae/blog/wedding-catering-cost-dubai","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/blog/wedding-catering-cost-dubai","index, follow","",""
"https://www.mychef.ae/venue-partners","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/venue-partners","index, follow","",""
"https://www.mychef.ae/wedding-catering-checklist-dubai","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/wedding-catering-checklist-dubai","index, follow","",""
"https://www.mychef.ae/buffet-vs-plated-dubai","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/buffet-vs-plated-dubai","index, follow","",""
"https://www.mychef.ae/blog","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/blog","index, follow","",""
"https://www.mychef.ae/corporate","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/corporate","index, follow","",""
"https://www.mychef.ae/press","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/press","index, follow","",""
"https://www.mychef.ae/dubai-food-trends-report-2026?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://www.mychef.ae/dubai-food-trends-report-2026","index, follow","",""
"https://www.mychef.ae/luxury-dining-experiences","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/luxury-dining-experiences","index, follow","",""
"https://www.mychef.ae/private-party-catering-dubai","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/private-party-catering-dubai","index, follow","",""
"https://www.mychef.ae/contact","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.mychef.ae/contact","index, follow","",""
